text_id,project,match_text,numeric_value,context
P224395,saao_saa01,300,300,"my lord! (Ammili'ti) the son of Amiri readied himself with 300 she-camels, intending to attack the booty being [tran]sferr"
P224395,saao_saa01,"[1],500",1500,"ty. He saw us, ambushed us from behind, and we had a fight. [1],500 [boot]y sheep from the city of Huzaza, [1],500 sheep [....."
P224395,saao_saa01,"[1],500",1500,"had a fight. [1],500 [boot]y sheep from the city of Huzaza, [1],500 sheep [......] city of [......], [...]2 men [......] men [."
P224395,saao_saa01,2,2,"ty of Huzaza, [1],500 sheep [......] city of [......], [...]2 men [......] men [...... (Break) We returned and went in pu"
P224403,saao_saa01,700,700,"The king's word to the go[vernor] (of Calah): 700 bales of straw and 700 bundles of reeds, each bundle more t"
P224403,saao_saa01,700,700,"s word to the go[vernor] (of Calah): 700 bales of straw and 700 bundles of reeds, each bundle more than a donkey can carry,"
P224403,saao_saa01,1,1,"a donkey can carry, must be at hand in Dur-Šarruken by the 1st of Kislev (IX). Should (even) one day pass by, you will d"
P224403,saao_saa01,one,,"nd in Dur-Šarruken by the 1st of Kislev (IX). Should (even) one day pass by, you will die. (SPACER)"
P224417,saao_saa01,two,,gers imposed on the local population have been handed over: two talents and 18 minas of silver according to the standard of
P224417,saao_saa01,18,18,the local population have been handed over: two talents and 18 minas of silver according to the standard of Carchemish. In
P224417,saao_saa01,half,,"f Carchemish. In addition I have sent to the king, my lord, half a shekel of gold, two [tog]as and three tunics with my mess"
P224417,saao_saa01,two,,"on I have sent to the king, my lord, half a shekel of gold, two [tog]as and three tunics with my messenger. [When the king"
P224417,saao_saa01,three,,"o the king, my lord, half a shekel of gold, two [tog]as and three tunics with my messenger. [When the king my lor]d gave [..."
P224417,saao_saa01,"2,450",2450,"nger. [When the king my lor]d gave [... to ...], he gave me 2,450 men; now Danâ has given me only 1,950, reducing (it) by 500"
P224417,saao_saa01,"1,950",1950,". to ...], he gave me 2,450 men; now Danâ has given me only 1,950, reducing (it) by 500 men. Those who were killed [...; ...]"
P224417,saao_saa01,500,500,"450 men; now Danâ has given me only 1,950, reducing (it) by 500 men. Those who were killed [...; ...] are in good health, t"
P224417,saao_saa01,[500,500,"e extra [...... (Break) If it is acc[eptable, let me b]ring [500 men f]rom A[rgite t]o Ṣ[upat and let ...] in their presence"
P224417,saao_saa01,"1,000",1000,"city of Hi[...], and in addition to them I harvest an extra 1,000 (hectares of) the sown fields of the city of Laba'u. Now, l"
P224417,saao_saa01,ten,,"down and build the fort"", they have come down; should these ten fortified towns in the desert come down as well? What does"
P224431,saao_saa01,5,5,"The following is (my) bread and fodder per calendar month: 5 homers of fodder, 123 homers of bread, total 128 homers, Ša"
P224431,saao_saa01,123,123,"y) bread and fodder per calendar month: 5 homers of fodder, 123 homers of bread, total 128 homers, Šamaš-ahu-iddina; 75 hom"
P224431,saao_saa01,128,128,"endar month: 5 homers of fodder, 123 homers of bread, total 128 homers, Šamaš-ahu-iddina; 75 homers of fodder, 15 homers of"
P224431,saao_saa01,75,75,"r, 123 homers of bread, total 128 homers, Šamaš-ahu-iddina; 75 homers of fodder, 15 homers of bread, total 90 homers, Abi-"
P224431,saao_saa01,15,15,"d, total 128 homers, Šamaš-ahu-iddina; 75 homers of fodder, 15 homers of bread, total 90 homers, Abi-lešir; 600 (homers of"
P224431,saao_saa01,90,90,"-ahu-iddina; 75 homers of fodder, 15 homers of bread, total 90 homers, Abi-lešir; 600 (homers of bread) for 2,000 full-tim"
P224431,saao_saa01,600,600,"of fodder, 15 homers of bread, total 90 homers, Abi-lešir; 600 (homers of bread) for 2,000 full-time (lit. 'free') soldier"
P224431,saao_saa01,"2,000",2000,"read, total 90 homers, Abi-lešir; 600 (homers of bread) for 2,000 full-time (lit. 'free') soldiers of the (king) of Commagene"
P224431,saao_saa01,918,918,"e (lit. 'free') soldiers of the (king) of Commagene. In all 918 homers a month, this household. The king my lord knows that"
P224431,saao_saa01,three,,"ing my lord knows that of the road-stations we take care of three stretches while they take care of two streches each. Now, t"
P224431,saao_saa01,two,,"ons we take care of three stretches while they take care of two streches each. Now, the king my lord should know that they"
P224485,saao_saa01,14,14,"ssenger [of] Midas the Phrygian has come to me, bringing me 14 men of Que whom Urik had sent to Urarṭu as an embassy"" — th"
P224485,saao_saa01,100,100,"so that he will be favourably disposed towards us. Whether 100 men or 10, write to him like this: ""I wrote to the king my"
P224485,saao_saa01,10,10,"will be favourably disposed towards us. Whether 100 men or 10, write to him like this: ""I wrote to the king my lord about"
P224485,saao_saa01,one,,"e wrote to me [as follows]: 'Do not hold back even a single one of the Phrygians at your court, but send them to Midas [imm"
P224485,saao_saa01,four,,"eards! As to what you wrote: ""Kilar [has request]ed from me four districts, saying: 'Let them give them to me'"" — should you"
P224485,saao_saa01,four,,"ying: 'Let them give them to me'"" — should you give [these] four districts to Kilar, would he not become your equal, and wha"
P224485,saao_saa01,one,,"tle them there, or they may also live here. As for him, let one of your 'third men' pick him up post-haste and let him come"
P224485,saao_saa01,third,,"e, or they may also live here. As for him, let one of your 'third men' pick him up post-haste and let him come here. I will s"
P224487,saao_saa01,one,,"say]: ""It is hard work [...]."" The work [......]; honestly, one cubit [...] bull colossi [...... (Break) Let them draw and"
P224487,saao_saa01,45,45,"I will plant] the saplings according to it. I have received 45 horses of the [pala]ce. The emissaries from Egypt, Gaza, Ju"
P224487,saao_saa01,12,12,"rom Egypt, Gaza, Judah, Moab and Ammon entered Calah on the 12th with their tribute. The 24 horses of the (king) of Gaza a"
P224487,saao_saa01,24,24,"and Ammon entered Calah on the 12th with their tribute. The 24 horses of the (king) of Gaza are with him. The Edomite, [As"
P313416,saao_saa01,1,1,"our servant Sin-a[šared]. Good health to the king, my lord! 1 big golden box, 1 golden plate, 3 crests of white silver, 1"
P313416,saao_saa01,1,1,"šared]. Good health to the king, my lord! 1 big golden box, 1 golden plate, 3 crests of white silver, 1 box of gold scrap"
P313416,saao_saa01,3,3,"lth to the king, my lord! 1 big golden box, 1 golden plate, 3 crests of white silver, 1 box of gold scraps, 2 golden gobl"
P313416,saao_saa01,1,1,"1 big golden box, 1 golden plate, 3 crests of white silver, 1 box of gold scraps, 2 golden goblets, 4 firewood containers"
P313416,saao_saa01,2,2,"lden plate, 3 crests of white silver, 1 box of gold scraps, 2 golden goblets, 4 firewood containers (with) golden (weighi"
P313416,saao_saa01,4,4,"ts of white silver, 1 box of gold scraps, 2 golden goblets, 4 firewood containers (with) golden (weighing) stones, 1 ..."
P313416,saao_saa01,1,1,"ets, 4 firewood containers (with) golden (weighing) stones, 1 ... overlaid with gold, 1 bronze washing bowl, silver table"
P313416,saao_saa01,1,1,"(with) golden (weighing) stones, 1 ... overlaid with gold, 1 bronze washing bowl, silver tableware, 1 box containing 153"
P313416,saao_saa01,1,1,"verlaid with gold, 1 bronze washing bowl, silver tableware, 1 box containing 153 silver bowls, 1 box (with) 25 bowls of ."
P313416,saao_saa01,153,153,", 1 bronze washing bowl, silver tableware, 1 box containing 153 silver bowls, 1 box (with) 25 bowls of ... silver and 26 si"
P313416,saao_saa01,1,1,"bowl, silver tableware, 1 box containing 153 silver bowls, 1 box (with) 25 bowls of ... silver and 26 silver ...; 1 lion"
P313416,saao_saa01,25,25,"tableware, 1 box containing 153 silver bowls, 1 box (with) 25 bowls of ... silver and 26 silver ...; 1 lion's head (rhyto"
P313416,saao_saa01,26,26,"g 153 silver bowls, 1 box (with) 25 bowls of ... silver and 26 silver ...; 1 lion's head (rhyton) of silver, [...... (Brea"
P313416,saao_saa01,1,1,"wls, 1 box (with) 25 bowls of ... silver and 26 silver ...; 1 lion's head (rhyton) of silver, [...... (Break) 1 golden [."
P313416,saao_saa01,1,1,"lver ...; 1 lion's head (rhyton) of silver, [...... (Break) 1 golden [......], 1 [......], [...] golden [...... (Break) ."
P313416,saao_saa01,1,1,"head (rhyton) of silver, [...... (Break) 1 golden [......], 1 [......], [...] golden [...... (Break) ... I have just] sen"
P313417,saao_saa01,one,,"..] (and found that) just along the king's road, [there is] one [......]. It is unsuitable for passing [......]. Perhaps th"
P313417,saao_saa01,60,60,"Guzana and sending (the information) to the king, my lord: 60 hectares in the town of Aridu along the canal near Kubanaše"
P313417,saao_saa01,200,200,ectares in the town of Aridu along the canal near Kubanaše; 200 in the village of Mar-jaba near Ilhini; 40 hecta[res in the
P313417,saao_saa01,40,40,near Kubanaše; 200 in the village of Mar-jaba near Ilhini; 40 hecta[res in the town of ...]ritu near Guzana; 200 [in the
P313417,saao_saa01,200,200,r Ilhini; 40 hecta[res in the town of ...]ritu near Guzana; 200 [in the village of] Amdanu near Bur-šarri: in all 500 (hect
P313417,saao_saa01,500,500,zana; 200 [in the village of] Amdanu near Bur-šarri: in all 500 (hectares of) land that Bel-duri holds in the district of G
P313417,saao_saa01,80,80,"f Guzana. In addition to this, I have today given (him) the 80 hectares of l[and] about which the king my lord now wrote ["
P313417,saao_saa01,one,,"lds of [......], the land that the king my lord [......] to one among the cit[ies ......]. I have no [...] to give [......]"
P313425,saao_saa01,Three,,"abs!"" — who are the merchants that have been selling there? Three men, elders of the 'Ateans, [are ...] there; they stock gra"
P313425,saao_saa01,20,20,"elders of the 'Ateans, [are ...] there; they stock grapes, 20 or [30 homers], as much as we bring in, and sell them to th"
P313425,saao_saa01,[30,30,"s of the 'Ateans, [are ...] there; they stock grapes, 20 or [30 homers], as much as we bring in, and sell them to the Arabs"
