text_id,project,translation,token_count,be_loss_framing,be_gain_framing,be_reference_point,be_complaint_petition,be_certainty_claim,be_forecast_claim,be_failed_prediction,be_interest_rate,be_loan_credit,be_deferred_payment,be_fairness_claim,be_reciprocity,be_price_mention,be_commodity_grain,be_commodity_money,be_labor_absence,be_wage_payment,be_risk_mention,be_contract_formal,be_tax_tribute,be_loss_aversion_signal,be_overconfidence_signal,be_calibration_signal,be_economic_core
P224395,saao_saa01,"To the king, my lord: Your servant Adda-hati. Good health to the king, my lord! (Ammili'ti) the son of Amiri readied himself with 300 she-camels, intending to attack the booty being [tran]sferred from Damascus to Assyria. [I heard of this and] sent word to Bel-i[qbi]; he came and we went together to meet the booty. He saw us, ambushed us from behind, and we had a fight. [1],500 [boot]y sheep from the city of Huzaza, [1],500 sheep [......] city of [......], [...]2 men [......] men [...... (Break) We returned and went in pursuit [after] him, getting as far as Il[...]ani, but could not catch up with him; (the terrain) was too difficult, [it was not fit] either for horses or for chariots [...... (Rest destroyed)",119,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P224403,saao_saa01,"The king's word to the go[vernor] (of Calah): 700 bales of straw and 700 bundles of reeds, each bundle more than a donkey can carry, must be at hand in Dur-Šarruken by the 1st of Kislev (IX). Should (even) one day pass by, you will die. (SPACER)",46,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P224417,saao_saa01,"To the king, my lord: Your servant Adda-hati. Good health to the king, my lord! The silver dues of the prefects and village managers imposed on the local population have been handed over: two talents and 18 minas of silver according to the standard of Carchemish. In addition I have sent to the king, my lord, half a shekel of gold, two [tog]as and three tunics with my messenger. [When the king my lor]d gave [... to ...], he gave me 2,450 men; now Danâ has given me only 1,950, reducing (it) by 500 men. Those who were killed [...; ...] are in good health, the extra [...... (Break) If it is acc[eptable, let me b]ring [500 men f]rom A[rgite t]o Ṣ[upat and let ...] in their presence. I harvest the sown fields of the city of Hi[...], and in addition to them I harvest an extra 1,000 (hectares of) the sown fields of the city of Laba'u. Now, let the king my lord give me Assyrian and Itu'ean people (so) I can have (them) hold the [...]; there is no Assyrian city-overseer nor any Assyrian gate-guards in Ṣupat. As to what the king my lord ordered: ""The people living on the mounds should come down and build the fort"", they have come down; should these ten fortified towns in the desert come down as well? What does the king say? The atmosphere is constantly hostile but I am not negligent about (my) guard.",236,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
P224431,saao_saa01,"To [the king, my lord: yo]ur servant [Bel-duri]. The king, my lord, [gave orders]: ""[All] gover[nors] may raise food and fodder from the vi[llages of the dese]rt with you, and Adad-isse'a and Bel-lešir are to support Abi-lešir!"" They have not agreed to this though, but are disobedient, saying: ""Why should our villages in the desert belong to all the governors? The villages are ... within each other!"" The king, my lord, should send word that they are to write down their desert villages. Ever since the king my lord has levied pack animals from Hamath, I have been on my own, and he (= Abi-lešir) and they (= Adad-isse'a and Bel-lešir) have been [on their own]. Tomorrow the king [my lord] will surely kill me, saying: ""You are but a bunch of do-nothings!"" The following is (my) bread and fodder per calendar month: 5 homers of fodder, 123 homers of bread, total 128 homers, Šamaš-ahu-iddina; 75 homers of fodder, 15 homers of bread, total 90 homers, Abi-lešir; 600 (homers of bread) for 2,000 full-time (lit. 'free') soldiers of the (king) of Commagene. In all 918 homers a month, this household. The king my lord knows that of the road-stations we take care of three stretches while they take care of two streches each. Now, the king my lord should know that they are rebelling (against this arrangement), we [...].",225,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
P224433,saao_saa01,"[To the king, my lord: yo]ur [servant S[in-ahhe-riba. Good health to the king, m]y lord! Assyria [is well], the temples [are well], all the [forts o]f the king [are well; the king, my lord], can be glad indeed. [......] the Itu'ean [......] who [......] from the city of Ištahup has now been brought to me from [...]ratta. I inquired him [about the Urarṭi]ans and he told me: ""The Urarṭian [and his magnates were defeated] on their expedition [against] the Cimmerians, and they are very much afraid of the king, my lord. They tremble and keep silent like women, and nobody [...] the forts of the king, my lord. The situation is very good. (As to) [the new]s of the Urarṭians, [...] the departure of [...... the emissa]ry of the Mannean (king) [......] oxen and sheep [......"" (Break) (SPACER) ruling [......] Judaean [......] of the Chief Cook [......] heavy logs [......] the governor of Raṣappa [......] the governor of Til-Barsip [......] deputies [......] within the city of Adia [......]",149,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P224447,saao_saa01,"To the king, my lord: your servant Bel-duri. The king installed Ilu-mušezib, a baker of Bel-emuranni, in Hatarikka. When the king passed on, Ku[baba]-ereš a (member) of his community and the (members) of the community of his relatives [made] him run away. They should make inquiries and return the man to me. When there was an [ep]idemic here, Ilu-bi'di a cohort [commander of the ... under] my jurisdiction killed a horse. I made up for the horse in his stead and he promised: ""I'll give you the money."" Now this Ilu-bi'di has died; his wife, as the king knows, has married a young boy and that person has been serving under me as a cook. When the k[ing] had passed on, the (members) of the community came and made the man escape. His name is Tuqunu; let the king, my lord, ask [K]imumai and the members of the community whether he is a servant (of mine). Nabû-šezib, my scribe, is in the presence of Aššur-ereš; let the king, my lord, send him over.",172,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
P224485,saao_saa01,"The king's word to Aššur-šarru-u[ṣur]: I am well, Assyria is well: you can be glad. As to what you wrote to me: ""A messenger [of] Midas the Phrygian has come to me, bringing me 14 men of Que whom Urik had sent to Urarṭu as an embassy"" — this is extremely good! My gods Aššur, Šamaš, Bel and Nabû have now taken action, and without a battle [or any]thing, the Phrygian has given us his word and become our ally! As to what you wrote: ""I shall not send my messenger to the Phrygian without the permission of the king, my lord"" — I am now writing to (tell) you that you should not cut off your messenger from the Phrygian's presence. Write to him in friendly terms and constantly listen to news about him, until I have more time. As to what you wrote: ""Should I send his subjects to him just as he sent me the subjects of the king my lord?"" — send them to him so that he will be favourably disposed towards us. Whether 100 men or 10, write to him like this: ""I wrote to the king my lord about the men of Que whom you sent to me, and he was extremely pleased; and in return he wrote to me [as follows]: 'Do not hold back even a single one of the Phrygians at your court, but send them to Midas [immediately]!' Thus at the king my lord's behest I am (now) sending you th[ese] men."" As to what you wrote: ""A messenger of Urpala'a came to me for an audience with the Phrygian messenger"" — let him come, and let Aššur, Šamaš, Bel and Nabû command that all these kings should wipe your sandals with their beards! As to what you wrote: ""Kilar [has request]ed from me four districts, saying: 'Let them give them to me'"" — should you give [these] four districts to Kilar, would he not become your equal, and what would you yourself be ruling over as governor then? Tell him as follows: ""Earlier, you were afraid of the Phrygian, but now the Phrygian has made peace with us, so what are you afraid of? Now eat your bread and drink your water under the protection of the king, my lord, and be happy. Do not worry about the Phrygian."" As to what you wrote: ""Urpala'a [may slip away] from the king, my lord, on account of the fact that the Atunnaeans and Istuandaeans came and took the cities of Bit-Paruta away from him"" — now that the Phrygian has made peace with us and ..., what can all the kings of Tabal do henceforth? You will press them from this side and the Phrygian from that side so that (in no time) you will snap your belt on them. Thanks to my gods Aššur, Šamaš, Bel and Nabû, this land has now been trodden under your feet! Move about as you please, do whatever you have to do, cut the long and lengthen the short until I come and give you [...] work! As to Ba[lasu concerning whom you wrote], I have heard his words in full. The day you see this letter, appoint his son in his place over his men. His people should be assembled and present, and if he wants, he may take them over the mountains and settle them there, or they may also live here. As for him, let one of your 'third men' pick him up post-haste and let him come here. I will speak kindly with him and encourage him, and in due course I will send word and have his people (being kept) here returned, and he too can go and re-enter his house. As for Aplaiu, let your messenger bring him and his people to me, whether (they are) citizens of Babylon, Borsippa, Kish, Nippur, Uruk, Der, or (...) (SPACER)",647,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False
P224487,saao_saa01,"[To the king], my lord: [your servant M]arduk-rem[anni. Good health] to the king, [my] lord! [The festi]val has been celebrated; the god [...] came out and returned in peace. May Nabû and Marduk bless the king! As to the bull colossi about which the king my lord wrote to me, I have worked out their positions at the ...s of the palaces and they are hewing them. We shall place the hewn colossi before the ... residence; they will trim the big ones and whe shall place them before the middlemost gate. As to the [sto]ne bulls of which I spoke to the king, my lord, they will modify them and turn them into bull colossi, and we shall place them before the middlemost gate. Perhaps the king, my lord, [will say]: ""It is hard work [...]."" The work [......]; honestly, one cubit [...] bull colossi [...... (Break) Let them draw and s[end me] the plan of the [...] of which I spoke] to the king, my lord, and [I will plant] the saplings according to it. I have received 45 horses of the [pala]ce. The emissaries from Egypt, Gaza, Judah, Moab and Ammon entered Calah on the 12th with their tribute. The 24 horses of the (king) of Gaza are with him. The Edomite, [Ashdo]dite and Ekronite [......]. The emissary from Que [......] is departing and going [...] the Bow [River]; the [...] of the Commander-in-Chief is with him.",228,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True
P224587,saao_saa01,"To the king, my lord: your servant Aššur-bani. Good health to the king, my lord! As to the double-door house of the courtyard of the bath, of which the king, my lord, wrote to me: ""Is the karintu [...]?"" The karintu has been completely built, but [the kar]intu [...... (Rest destroyed) (SPACER) (SPACER)",47,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P313416,saao_saa01,"To the king, my lord: your servant Sin-a[šared]. Good health to the king, my lord! 1 big golden box, 1 golden plate, 3 crests of white silver, 1 box of gold scraps, 2 golden goblets, 4 firewood containers (with) golden (weighing) stones, 1 ... overlaid with gold, 1 bronze washing bowl, silver tableware, 1 box containing 153 silver bowls, 1 box (with) 25 bowls of ... silver and 26 silver ...; 1 lion's head (rhyton) of silver, [...... (Break) 1 golden [......], 1 [......], [...] golden [...... (Break) ... I have just] sent [to] the king, my lord.",88,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
