doc_id,hgv_id,tm_id,ddb_hybrid,filename,date_text,date_year_approx,provenance,language,transcription_text,translation_text,has_translation
p.iand.zen.1,4205,4205,p.iand.zen;;1,p.iand.zen.1,256 BC,-256.0,Philadelphia,grc,"βασιλεύοντος Πτολεμαίου τοῦ Πτολεμαίου Σωτῆρος ἔτους ἐφʼ ἱερέως τοῦ Ἀλεξάνδρου καὶ θεῶν Ἀδελφῶν, κανηφόρου Ἀρσινόης Φιλαδέλφου τῆς , μηνὸς , Αἰγυπτίων δὲ ἐξέλαβ ε ο ν Σισ ς ὁ τοῦ καὶ Ἁρμάις καὶ Πᾶσις καὶ Κε λ εκ ς παρὰ Ζήνωνος τοῦ Ἀγρεοφῶντος Καυνίου τῶν περὶ Ἀπολλώνιον τὸν διοικητὴν ἀπὸ τῶν δεδομένων παρὰ τοῦ βασιλέως ἐν τῶι Ἀρσινοίτηι νομῶι κατὰ Φιλαδέλφειαν Ἀπολλωνίωι τῶι διοικητῆι ἀρου ρῶν μ υρίων γῆς σπορίμου ἐν τῶι περιχώματι τῶι ἀπὸ βορρᾶ πρὸς νότον ἀρού ρας ρ εἰς ἐνιαυτόν, ἑκάστην ἄρου ραν πρὸς πυρὸν ἀν ὰ ἀρ τάβας ζ ἀκίνδυνον καὶ ἀνυπόλογον παντὸς ὑπολόγου. δοθήσεται δὲ εἰς μὲν τὴν πυρο φόρον σπέρμα τῆι ἀρού ρηι ἀρ τάβης ἥμισυ , εἰς δὲ τὴν κριθοφόρον κατὰ λόγον καὶ εἰς ἀνήλωμα ἑκάστηι ἀρού ρηι κρ ιθῆς ἀρ τάβη α καὶ εἰς βοτανισμὸν κρ ιθῆς ἀρ τάβης ἥμισυ καὶ εἰς ξυλοκοπίαν, ἐὰν ἐμπίπτηι κοπὰς, ὅσον ἂν συγκριθῆι ἱκανὸν εἶναι δίδοσθαι εἰς ἑκάστην ἀρου ρῶν . ἀπομετρείτω σαν δὲ Σισ ς καὶ Ἁρμάις καὶ Πᾶσις καὶ Κε λ εκ ς τὸν σῖτον εἰς τὸ ἐκφόριον ἐν τῶι ἐν Φιλαδελφείαι θησαυρῶι κ α τὰ τὸ σιτολο γ ικὸν διάγραμμα ἐμ μηνὶ τῶι ἐν τῶι ἔτει , ὡσαύτως δὲ καὶ ὃ ν ἂν λαβ ηι ωσι σῖτον εἰ ς σπέρμα καὶ βοτανισμὸν καὶ ἀνήλωμα καὶ ὅσον ἂν ἀργύριον εἰς τ ὴ ν κοπάδα δ ανείσ η ων ται ἢ σῖτον ἀντὶ τοῦ ἀργυρίου, τῶν μὲν πυ ρῶν τὴν ἀρ τάβην πρὸς χα λ κ ὸν δραχμὴν α διώβολον , τῆς δὲ κρ ιθῆς κατὰ λόγον. κατασπειράτω σαν δὲ Σισ ς καὶ Ἁρμάις καὶ Πᾶσις καὶ Κ ελ ε ς ἧς ἐξειλήφ εν ασι γ ῆ ς τὰ μὲν δύο μέρη πυρῶι, τὸ δὲ τρίτον μέρος κριθῆι. ἐὰν δὲ μὴ ποι ηι ῶσι καθὰ συνεγράψα ν το, ἐξέστω Ζήνωνι ἑτέροις ἀπομισθοῦν τὴν γῆν. τὸ δὲ βλάβος, ὃ ἂν κα ταβ λαψ ηι ωσι τὴν Ἀ πολλωνίου πρόσοδον ἢ πρὸς τὸ ἐκφόριον καὶ τὰ δάνεια, ὃ ἂν προσοφειλησ ηι ωσι , ἀποτεισάτω σαν Ζήνωνι παραχρῆμα ἡμιόλιον. ἡ δὲ πρᾶξις ἔ στω Ζήνωνι ἢ ἄλλωι ὑπὲρ αὐτοῦ πράσσοντι ἔκ τε αὐτ ου ῶν καὶ τῶν ἐγγύων καὶ ἐκ τῶν ὑπαρχόντω ν αὐτ ωι οῖς πάντων καὶ ἐξ ἑνὸς καὶ ἐκ πάντων ὡς πρὸς βασιλικά. ἔγγυοι τῶν κατὰ τ ὴν συγγραφὴν εἰς ἔ κτεισιν οἱ συγγεγραμμένοι ἀλλήλων καὶ Ἡδύλος Δίωνος Τύριος τ ῶν περὶ Ἀπολλώνιον τὸν διοικητήν. ἡ δὲ συγγραφὴ ἥδε κυρία ἔστω, οὗ ἂν ἐπιφέρηται. μάρτυρες· Δᾶμις Κλ έωνος, Σώστρατος Κλέωνος, οἱ δύο Ἑλένειοι, Θεόπομπος Ἀριστίωνος Θεσσαλὸς ἰατρός, Διόδωρο ς Ζωπύρου Μάγνης τῶν περὶ Ἀπολ λώνιον τὸν διοικητήν, Ἀγαθῖνος Πύρρου Κυρηναῖος τῶ ν ἐπέργων, Ἄνοσις Θοτορχῆτος Σα ίτης κωμογραμματεὺς ἐν Φιλαδελφείαι. παρὰ Δάμιδι. γε Σισ ο υ Ἁρμάιος Πάσιτος Κε λ ε τ ος ἄρου ραι ρ ἀν ὰ ζ .",,False
p.iand.zen.10,110064,110064,p.iand.zen;;10,p.iand.zen.10,,,,grc,χ αί ρειν . πυ νθ ά νομ αι τά τε χλωρ ὰ μ τ η κ α γ ενομε ν μ αι μ ενον κ τα ν μίσθωσ ι ν μηθὲν ἀπολειπον λείπετ αι τι διὰ εἰς τὸν σ π όρ ο ν τα δραχμ ε νήνοχεν. ἔρρωσο. ἔτους λ Δύ σ τρου ια Μεχεὶρ,,False
p.iand.zen.11,110065,110065,p.iand.zen;;11,p.iand.zen.11,,,,grc,"τῆς γ ῆς ς ἔτι οὖν καὶ ν ῦν ἤδη παρ ε σ θαι, ὁμοίως δὲ κα ὶ τῆς λοι πῆς γῆς τῆς ἐσπ α ρμένης τὸ κατὰ φύλλον. ἔρρ ωσο. ἔτους λβ Δύστ ρο υ κ δ Φαμενὼθ κ",,False
p.iand.zen.12,110066,110066,p.iand.zen;;12,p.iand.zen.12,,,,grc,"αὐτῶι τῶν ἐμ ῶ ν ἀντίγραφα ὅπ ως ε ἰ δ ὲ μή, οὐθεὶς σοὶ κρίνηις ἀναγκαι μετὰ ἀποδείξ εως",,False
p.iand.zen.13,110067,110067,p.iand.zen;;13,p.iand.zen.13,,,,grc,ο μ οι o ηδε με μ η θ ην α λ εισ τεμ σθ ε σ α υ ἔρ ρωσ ο,,False
p.iand.zen.14,110068,110068,p.iand.zen;;14,p.iand.zen.14,,,,grc,εν Ἀπολλω ν ν ἀπέστειλε,,False
p.iand.zen.15,110069,110069,p.iand.zen;;15,p.iand.zen.15,,,,grc,ἀμπελ αὐτω ον π ἔρρωσο. ἔτους κ,,False
p.iand.zen.16,110070,110070,p.iand.zen;;16,p.iand.zen.16,,,,grc,τα ἀνηλωμένα εἰ ς Ἀπολλωνίωι τῶι η,,False
p.iand.zen.17,110071,110071,p.iand.zen;;17,p.iand.zen.17,,,,grc,Πανακέστ ωρ Κλειτάρχωι Ἄνδρω νι χαίρειν. μ ετρήσατε πατρου σπέ ρ μα πυ ροῦ ἀρ τ γ καὶ Κρ ί τωνι καὶ Στοτοή τ ει καὶ κρι θῆς ἀρ τ β καὶ Πάσι τ ι καὶ κρι θῆς ἀρ τ β καὶ Τε ΰρ ει καὶ κρι θῆς ἀρ τ β καὶ Σισύφωι σπέρμα πυ ροῦ ἀρ τ σπέρμα κρι θῆς ἀ ρ τ σπέρμα πυ ροῦ ἀ ρ τ σπέρ μα πυ ροῦ ἀρ τ,,False
p.iand.zen.18,110072,110072,p.iand.zen;;18,p.iand.zen.18,,,,grc,vestiges ν ἔδοξεν οὖ ν μοι ἔρρωσο. ἔτους κ θ,,False
